host,model,i,action,outcome,code,state_write,admission_ms,decision_ms,encode_ms,commit_ms,projection_ms,e2e_ms
phone-android,tiny,1325,look,accepted,observed,0,0.6244,0.5025,0.0807,3.4838,0.1311,4.8226
phone-android,tiny,1326,wait,rejected,invalid_time,0,0.6215,0.5091,0.1148,3.4426,0.1206,4.8086
phone-android,tiny,1327,look,accepted,observed,0,0.5802,0.4795,0.0790,3.8576,0.1340,5.1303
phone-android,tiny,1328,wait,rejected,invalid_time,0,0.7010,0.5745,0.0851,4.0630,0.1512,5.5748
phone-android,tiny,1329,look,accepted,observed,0,0.7689,0.5180,0.0795,3.7541,0.1290,5.2495
phone-android,tiny,1330,look,accepted,observed,0,0.7726,0.5280,0.0812,3.7946,0.1394,5.3158
phone-android,tiny,1331,look,accepted,observed,0,0.7305,0.5071,0.0802,3.3034,0.1149,4.7361
phone-android,tiny,1332,take,rejected,not_present,0,0.6811,0.4897,0.0836,3.1967,0.1162,4.5674
phone-android,tiny,1333,move,accepted,moved,1,0.5417,0.5088,0.1706,3.8934,0.1438,5.2583
phone-android,tiny,1334,choose,rejected,invalid_choice,0,0.5424,0.5292,0.0808,3.2686,0.1176,4.5388
phone-android,tiny,1335,move,rejected,exit_unavailable,0,0.5434,0.4939,0.0847,3.1490,0.1224,4.3934
phone-android,tiny,1336,wait,rejected,invalid_time,0,0.6301,0.5047,0.0830,3.5019,0.1103,4.8300
phone-android,tiny,1337,move,accepted,moved,1,0.5551,0.5033,0.1693,3.9063,0.1544,5.2883
phone-android,tiny,1338,look,accepted,observed,0,0.5755,0.4741,0.0793,3.4265,0.1257,4.6810
phone-android,tiny,1339,look,accepted,observed,0,0.6250,0.4811,0.0808,3.4745,0.1292,4.7906
phone-android,tiny,1340,move,accepted,moved,1,0.6975,0.5594,0.1718,4.4574,0.1721,6.0582
phone-android,tiny,1341,move,accepted,moved,1,0.6968,0.5576,0.1719,4.2185,0.1502,5.7949
phone-android,tiny,1342,move,accepted,moved,1,0.6042,0.5249,0.1681,3.9063,0.1478,5.3512
phone-android,tiny,1343,look,accepted,observed,0,0.5687,0.5223,0.0928,3.5812,0.1129,4.8780
phone-android,tiny,1344,move,accepted,moved,1,0.5522,0.4940,0.1699,4.3900,0.1400,5.7461
phone-android,tiny,1345,move,accepted,moved,1,0.6761,0.5317,0.1697,4.7683,0.1676,6.3135
