host,model,i,action,outcome,code,state_write,admission_ms,decision_ms,encode_ms,commit_ms,projection_ms,e2e_ms,bytes_written,host_encode_ms
node-local,tiny,1397,move,accepted,moved,1,0.0128,0.0185,0.0034,0.3595,0.0037,0.3979,191,0.0075
node-local,tiny,1398,look,accepted,observed,0,0.0119,0.0153,0.0025,0.2915,0.0030,0.3241,161,0.0070
node-local,tiny,1399,move,accepted,moved,1,0.0117,0.0150,0.0025,0.3349,0.0037,0.3680,189,0.0072
node-local,tiny,1400,take,rejected,not_present,0,0.0122,0.0157,0.0024,0.2982,0.0028,0.3313,164,0.0071
node-local,tiny,1401,take,rejected,not_present,0,0.0116,0.0141,0.0025,0.2920,0.0027,0.3229,164,0.0070
node-local,tiny,1402,wait,rejected,invalid_time,0,0.0113,0.0155,0.0023,0.3152,0.0037,0.3480,165,0.0074
node-local,tiny,1403,look,accepted,observed,0,0.0143,0.0155,0.0028,0.2967,0.0029,0.3320,161,0.0073
node-local,tiny,1404,look,accepted,observed,0,0.0120,0.0139,0.0024,1.8290,0.0034,1.8607,161,0.0072
node-local,tiny,1405,look,accepted,observed,0,0.0120,0.0134,0.0023,0.2742,0.0026,0.3045,161,0.0069
node-local,tiny,1406,look,accepted,observed,0,0.0113,0.0134,0.0025,0.2795,0.0026,0.3094,161,0.0069
node-local,tiny,1407,look,accepted,observed,0,0.0118,0.0131,0.0023,0.2833,0.0036,0.3141,161,0.0073
node-local,tiny,1408,wait,rejected,invalid_time,0,0.0132,0.0165,0.0025,0.3280,0.0037,0.3639,165,0.0077
node-local,tiny,1409,move,accepted,moved,1,0.0146,0.0177,0.0032,0.3622,0.0036,0.4014,191,0.0073
node-local,tiny,1410,move,accepted,moved,1,0.0129,0.0163,0.0029,0.3528,0.0051,0.3900,187,0.0082
node-local,tiny,1411,wait,rejected,invalid_time,0,0.0147,0.0177,0.0028,0.3316,0.0030,0.3699,165,0.0075
node-local,tiny,1412,move,accepted,moved,1,0.0203,0.0169,0.0032,0.4127,0.0036,0.4567,189,0.0084
node-local,tiny,1413,look,accepted,observed,0,0.0176,0.0135,0.0023,0.3683,0.0027,0.4043,161,0.0072
node-local,tiny,1414,wait,rejected,invalid_time,0,0.0164,0.0151,0.0023,0.3577,0.0029,0.3944,165,0.0070
node-local,tiny,1415,look,accepted,observed,0,0.0175,0.0131,0.0023,0.3635,0.0027,0.3992,161,0.0068
node-local,tiny,1416,talk,rejected,not_owned,0,0.0161,0.0158,0.0023,0.3413,0.0028,0.3784,162,0.0069
node-local,tiny,1417,move,accepted,moved,1,0.0202,0.0165,0.0028,0.4804,0.0038,0.5238,187,0.0072
node-local,tiny,1418,look,accepted,observed,0,0.0180,0.0136,0.0024,0.3633,0.0026,0.3999,161,0.0070
node-local,tiny,1419,look,accepted,observed,0,0.0164,0.0130,0.0023,0.3655,0.0027,0.4000,161,0.0070
node-local,tiny,1420,look,accepted,observed,0,0.0165,0.0130,0.0023,0.4034,0.0027,0.4379,161,0.0069
node-local,tiny,1421,move,accepted,moved,1,0.0158,0.0152,0.0026,0.3964,0.0035,0.4335,189,0.0072
node-local,tiny,1422,move,accepted,moved,1,0.0186,0.0163,0.0027,0.3991,0.0035,0.4401,187,0.0072
node-local,tiny,1423,move,rejected,exit_unavailable,0,0.0180,0.0158,0.0024,0.3618,0.0030,0.4010,169,0.0069
node-local,tiny,1424,move,accepted,moved,1,0.0183,0.0160,0.0025,0.3841,0.0035,0.4244,191,0.0070
node-local,tiny,1425,look,accepted,observed,0,0.0218,0.0135,0.0024,0.3907,0.0027,0.4311,161,0.0070
node-local,tiny,1426,move,accepted,moved,1,0.0152,0.0158,0.0026,0.3859,0.0033,0.4228,187,0.0076
node-local,tiny,1427,move,accepted,moved,1,0.0156,0.0149,0.0025,1.8106,0.0042,1.8479,191,0.0071
node-local,tiny,1428,take,rejected,not_present,0,0.0183,0.0158,0.0024,0.3659,0.0034,0.4058,164,0.0069
node-local,tiny,1429,look,accepted,observed,0,0.0168,0.0134,0.0024,0.3485,0.0028,0.3839,161,0.0068
node-local,tiny,1430,look,accepted,observed,0,0.0158,0.0132,0.0023,0.3455,0.0026,0.3793,161,0.0068
node-local,tiny,1431,talk,rejected,not_eligible,0,0.0155,0.0147,0.0025,0.3567,0.0037,0.3931,165,0.0071
node-local,tiny,1432,look,accepted,observed,0,0.0123,0.0137,0.0024,0.4001,0.0026,0.4311,161,0.0068
