host,model,i,action,outcome,code,state_write,admission_ms,decision_ms,encode_ms,commit_ms,projection_ms,e2e_ms,bytes_written,host_encode_ms
phone-android,tiny,1386,look,accepted,observed,0,0.7541,0.3317,0.0463,3.6202,0.1208,4.8730,161,0.2074
phone-android,tiny,1387,take,rejected,not_present,0,0.8427,0.3773,0.0489,3.3730,0.1029,4.7447,164,0.1471
phone-android,tiny,1388,look,accepted,observed,0,0.6815,0.3755,0.0508,3.4573,0.0951,4.6601,161,0.2381
phone-android,tiny,1389,look,accepted,observed,0,0.7041,0.3155,0.0460,3.3296,0.0853,4.4806,161,0.1469
phone-android,tiny,1390,wait,rejected,invalid_time,0,0.5672,0.3357,0.0459,3.4131,0.0820,4.4439,165,0.1444
phone-android,tiny,1391,look,accepted,observed,0,0.7212,0.3413,0.0463,3.6051,0.0919,4.8058,161,0.1458
phone-android,tiny,1392,choose,rejected,invalid_choice,0,0.6763,0.3815,0.0481,3.5172,0.0882,4.7112,167,0.1439
phone-android,tiny,1393,move,accepted,moved,1,0.7308,0.3693,0.0521,5.2593,0.1141,6.5256,191,0.1520
phone-android,tiny,1394,choose,rejected,invalid_choice,0,0.6737,0.3755,0.0485,3.4784,0.0924,4.6685,167,0.1513
phone-android,tiny,1395,look,accepted,observed,0,0.6218,0.3438,0.0486,3.3233,0.0826,4.4201,161,0.1387
phone-android,tiny,1396,move,accepted,moved,1,0.5382,0.3939,0.0538,4.6614,0.1065,5.7537,189,0.1459
phone-android,tiny,1397,move,accepted,moved,1,0.6070,0.3585,0.0556,4.9294,0.1171,6.0677,191,0.1409
phone-android,tiny,1398,look,accepted,observed,0,0.7107,0.3477,0.0484,3.6906,0.1550,4.9523,161,0.1441
phone-android,tiny,1399,move,accepted,moved,1,0.7506,0.3831,0.0543,4.7342,0.1051,6.0273,189,0.1513
phone-android,tiny,1400,take,rejected,not_present,0,0.6846,0.3793,0.0527,3.8321,0.1184,5.0670,164,0.1532
phone-android,tiny,1401,take,rejected,not_present,0,0.7980,0.3820,0.0512,4.1106,0.0957,5.4375,164,0.1470
phone-android,tiny,1402,wait,rejected,invalid_time,0,0.7032,0.3954,0.0484,3.6158,0.0975,4.8604,165,0.1522
phone-android,tiny,1403,look,accepted,observed,0,0.8172,0.3843,0.0484,3.6993,0.1025,5.0517,161,0.1429
phone-android,tiny,1404,look,accepted,observed,0,0.7037,0.3274,0.0476,3.2337,0.0866,4.3989,161,0.1465
phone-android,tiny,1405,look,accepted,observed,0,0.6351,0.3376,0.0499,3.5306,0.0932,4.6464,161,0.1628
phone-android,tiny,1406,look,accepted,observed,0,0.8056,0.3962,0.0578,4.1072,0.1177,5.4845,161,0.2110
phone-android,tiny,1407,look,accepted,observed,0,0.8509,0.3979,0.0524,3.6763,0.1060,5.0835,161,0.1714
phone-android,tiny,1408,wait,rejected,invalid_time,0,0.7674,0.4839,0.0556,3.6163,0.0958,5.0190,165,0.1729
phone-android,tiny,1409,move,accepted,moved,1,0.7518,0.4262,0.0626,5.1106,0.1393,6.4904,191,0.1590
phone-android,tiny,1410,move,accepted,moved,1,0.8466,0.4014,0.0529,4.9963,0.1265,6.4236,187,0.1555
phone-android,tiny,1411,wait,rejected,invalid_time,0,0.7309,0.3835,0.0445,3.4670,0.0964,4.7223,165,0.1484
phone-android,tiny,1412,move,accepted,moved,1,0.7881,0.4094,0.0538,5.0019,0.1232,6.3762,189,0.1520
phone-android,tiny,1413,look,accepted,observed,0,0.7410,0.3307,0.0469,4.0405,0.0847,5.2440,161,0.1457
phone-android,tiny,1414,wait,rejected,invalid_time,0,0.6003,0.3496,0.0469,3.4368,0.1057,4.5393,165,0.1582
phone-android,tiny,1415,look,accepted,observed,0,0.8418,0.3666,0.0469,4.0503,0.1414,5.4469,161,0.1472
phone-android,tiny,1416,talk,rejected,not_owned,0,0.8690,0.3821,0.1426,4.0344,0.1171,5.5452,162,0.1441
phone-android,tiny,1417,move,accepted,moved,1,0.7457,0.3514,0.0512,4.8877,0.1086,6.1447,187,0.1373
phone-android,tiny,1418,look,accepted,observed,0,0.7668,0.3816,0.0495,3.6608,0.1123,4.9710,161,0.1605
phone-android,tiny,1419,look,accepted,observed,0,0.8271,0.3805,0.0503,3.5792,0.0922,4.9293,161,0.1466
phone-android,tiny,1420,look,accepted,observed,0,0.6257,0.3281,0.0483,3.3938,0.0855,4.4814,161,0.1506
phone-android,tiny,1421,move,accepted,moved,1,0.6480,0.3593,0.0540,4.4741,0.1093,5.6445,189,0.1507
