host,model,i,action,outcome,code,state_write,admission_ms,decision_ms,encode_ms,commit_ms,projection_ms,e2e_ms
m1-server,tiny,1336,wait,rejected,invalid_time,0,0.0087,0.0035,0.0013,0.0465,0.0021,0.0620
m1-server,tiny,1337,move,accepted,moved,1,0.0095,0.0043,0.0035,0.0663,0.0025,0.0861
m1-server,tiny,1338,look,accepted,observed,0,0.0097,0.0036,0.0012,0.0517,0.0021,0.0684
m1-server,tiny,1339,look,accepted,observed,0,0.0095,0.0132,0.0013,0.0524,0.0018,0.0783
m1-server,tiny,1340,move,accepted,moved,1,0.0092,0.0041,0.0035,0.0634,0.0025,0.0826
m1-server,tiny,1341,move,accepted,moved,1,0.0098,0.0043,0.0035,0.0619,0.0022,0.0816
m1-server,tiny,1342,move,accepted,moved,1,0.0092,0.0039,0.0034,0.0570,0.0020,0.0755
m1-server,tiny,1343,look,accepted,observed,0,0.0087,0.0032,0.0012,0.0497,0.0017,0.0644
m1-server,tiny,1344,move,accepted,moved,1,0.0088,0.0037,0.0033,0.0568,0.0022,0.0747
m1-server,tiny,1345,move,accepted,moved,1,0.0087,0.0038,0.0033,0.0590,0.0021,0.0768
m1-server,tiny,1346,move,rejected,exit_unavailable,0,0.0090,0.0037,0.0013,0.0536,0.0023,0.0698
m1-server,tiny,1347,wait,rejected,invalid_time,0,0.0097,0.0040,0.0013,0.0538,0.0018,0.0707
m1-server,tiny,1348,look,accepted,observed,0,0.0091,0.0033,0.0013,0.0714,0.0022,0.0872
m1-server,tiny,1349,move,accepted,moved,1,0.0096,0.0043,0.0033,0.0578,0.0021,0.0772
m1-server,tiny,1350,look,accepted,observed,0,0.0091,0.0033,0.0013,0.0509,0.0018,0.0663
m1-server,tiny,1351,wait,rejected,invalid_time,0,0.0089,0.0035,0.0013,0.0446,0.0018,0.0600
m1-server,tiny,1352,talk,rejected,not_eligible,0,0.0092,0.0035,0.0011,0.0615,0.0018,0.0771
m1-server,tiny,1353,wait,rejected,invalid_time,0,0.0093,0.0035,0.0012,0.0528,0.0018,0.0686
m1-server,tiny,1354,move,accepted,moved,1,0.0091,0.0038,0.0034,0.0647,0.0021,0.0832
m1-server,tiny,1355,move,accepted,moved,1,0.0091,0.0040,0.0032,0.0569,0.0021,0.0753
m1-server,tiny,1356,close_choice,rejected,invalid_choice,0,0.0089,0.0034,0.0013,0.0482,0.0018,0.0634
m1-server,tiny,1357,talk,rejected,not_eligible,0,0.0087,0.0034,0.0012,0.0549,0.0112,0.0793
m1-server,tiny,1358,move,accepted,moved,1,0.0147,0.0042,0.0034,0.0718,0.0025,0.0966
m1-server,tiny,1359,choose,rejected,invalid_choice,0,0.0089,0.0045,0.0013,0.0563,0.0019,0.0730
m1-server,tiny,1360,move,accepted,moved,1,0.0090,0.0039,0.0033,0.0544,0.0026,0.0732
m1-server,tiny,1361,move,accepted,moved,1,0.0098,0.0045,0.0033,0.0633,0.0023,0.0833
m1-server,tiny,1362,move,rejected,exit_unavailable,0,0.0092,0.0038,0.0013,0.0573,0.0023,0.0740
m1-server,tiny,1363,move,accepted,moved,1,0.0094,0.0042,0.0034,1.8125,0.0030,1.8325
m1-server,tiny,1364,move,accepted,moved,1,0.0140,0.0061,0.0035,0.0637,0.0025,0.0897
m1-server,tiny,1365,move,rejected,exit_unavailable,0,0.0103,0.0045,0.0014,0.0525,0.0019,0.0705
m1-server,tiny,1366,move,accepted,moved,1,0.0093,0.0040,0.0035,0.0663,0.0023,0.0853
m1-server,tiny,1367,activate,rejected,not_eligible,0,0.0095,0.0033,0.0012,0.0500,0.0018,0.0659
m1-server,tiny,1368,talk,rejected,not_eligible,0,0.0091,0.0034,0.0012,0.0481,0.0017,0.0635
m1-server,tiny,1369,move,accepted,moved,1,0.0088,0.0038,0.0034,0.0632,0.0022,0.0814
m1-server,tiny,1370,activate,rejected,not_eligible,0,0.0093,0.0035,0.0012,0.0497,0.0024,0.0661
m1-server,tiny,1371,look,accepted,observed,0,0.0099,0.0038,0.0012,0.0526,0.0020,0.0695
m1-server,tiny,1372,look,accepted,observed,0,0.0093,0.0034,0.0012,0.0485,0.0021,0.0646
m1-server,tiny,1373,look,accepted,observed,0,0.0098,0.0036,0.0013,0.0699,0.0018,0.0864
m1-server,tiny,1374,move,accepted,moved,1,0.0094,0.0040,0.0034,0.0570,0.0022,0.0760
m1-server,tiny,1375,look,accepted,observed,0,0.0093,0.0033,0.0012,0.0501,0.0022,0.0661
m1-server,tiny,1376,move,accepted,moved,1,0.0099,0.0129,0.0033,0.0896,0.0026,0.1183
m1-server,tiny,1377,move,rejected,exit_unavailable,0,0.0095,0.0040,0.0013,0.0508,0.0019,0.0675
m1-server,tiny,1378,move,accepted,moved,1,0.0092,0.0041,0.0034,0.0615,0.0021,0.0803
m1-server,tiny,1379,wait,rejected,invalid_time,0,0.0094,0.0036,0.0013,0.0497,0.0016,0.0656
m1-server,tiny,1380,look,accepted,observed,0,0.0088,0.0031,0.0012,0.0522,0.0017,0.0669
m1-server,tiny,1381,look,accepted,observed,0,0.0087,0.0032,0.0011,0.0654,0.0023,0.0807
m1-server,tiny,1382,look,accepted,observed,0,0.0095,0.0037,0.0012,0.0524,0.0021,0.0688
